,Ranking,University,Location
0,1,Harvard University,United States
1,2,Massachusetts Institute of Technology,United States
2,3,Stanford University,United States
3,4,University of California--Berkeley,United States
4,5,University of Oxford,United Kingdom
5,6,California Institute of Technology,United States
6,7,University of Cambridge,United Kingdom
7,8,Columbia University,United States
8,9,Princeton University,United States
9,10,University of Washington,United States
10,11,Yale University,United States
11,12,Johns Hopkins University,United States
12,13,University of California--Los Angeles,United States
13,14,University of Chicago,United States
14,15,University of California--San Francisco,United States
15,16,University of Pennsylvania,United States
16,17,University of California--San Diego,United States
17,18,Imperial College London,United Kingdom
18,18,University of Michigan--Ann Arbor,United States
19,20,University of Toronto,Canada
20,21,University College London,United Kingdom
21,22,Duke University,United States
22,23,Cornell University,United States
23,24,Northwestern University,United States
24,25,Swiss Federal Institute of Technology Zurich,Switzerland
25,26,University of Melbourne,Australia
26,27,University of Sydney,Australia
27,28,New York University,United States
28,28,University of Edinburgh,United Kingdom
29,30,University of British Columbia,Canada
30,31,Washington University in St. Louis,United States
31,32,University of Copenhagen,Denmark
32,33,University of North Carolina--Chapel Hill,United States
33,34,National University of Singapore,Singapore
34,34,University of Texas--Austin,United States
35,36,Tsinghua University,China
36,37,King's College London,United Kingdom
37,37,Sorbonne Universite,France
38,37,University of Wisconsin--Madison,United States
39,40,University of Amsterdam,Netherlands
40,41,University of California--Santa Barbara,United States
41,42,University of Queensland Australia,Australia
42,43,Nanyang Technological University,Singapore
43,43,University of Munich,Germany
44,45,École Polytechnique Federale of Lausanne,Switzerland
45,45,Ohio State University--Columbus,United States
46,47,University of Minnesota--Twin Cities,United States
47,47,University of Pittsburgh,United States
48,49,McGill University,Canada
49,50,University of Colorado--Boulder,United States
50,51,Boston University,United States
51,51,Karolinska Institute,Sweden
52,51,King Abdulaziz University,Saudi Arabia
53,51,University of Maryland--College Park,United States
54,55,Utrecht University,Netherlands
55,56,Catholic University of Leuven,Belgium
56,56,Heidelberg University,Germany
57,58,University of Zurich,Switzerland
58,59,Monash University,Australia
59,59,Peking University,China
60,59,University of Illinois--Urbana-Champaign,United States
61,62,Georgia Institute of Technology,United States
62,62,Rockefeller University,United States
63,64,University of California--Davis,United States
64,64,University of Manchester,United Kingdom
65,64,University of New South Wales,Australia
66,67,Icahn School of Medicine at Mount Sinai,United States
67,67,Universite Sorbonne Paris Cite-USPC (ComUE),France
68,69,Australian National University,Australia
69,69,University of Southern California,United States
70,71,Emory University,United States
71,72,Pennsylvania State University--University Park,United States
72,72,Vanderbilt University,United States
73,74,Erasmus University Rotterdam,Netherlands
74,74,University of Tokyo,Japan
75,76,University of California--Santa Cruz,United States
76,77,Technical University of Munich,Germany
77,78,University of California--Irvine,United States
78,79,Wageningen University and Research Center,Netherlands
79,80,University of Adelaide,Australia
80,81,Carnegie Mellon University,United States
81,81,University of Arizona,United States
82,81,University of Western Australia,Australia
83,84,PSL Research University Paris (ComUE),France
84,85,Wageningen University and Research Center,Netherlands
85,86,Leiden University,Netherlands
86,86,VU University Amsterdam,Netherlands
87,88,Lund University,Sweden
88,88,University of Geneva,Switzerland
89,90,Humboldt-Universität zu Berlin,Germany
90,90,Michigan State University,United States
91,92,Ghent University,Belgium
92,92,University of Helsinki,Finland
93,94,University of Southampton,United Kingdom
94,95,University of Glasgow,United Kingdom
95,96,University of Barcelona,Spain
96,96,University of Birmingham,United Kingdom
97,98,University of Oslo,Norway
98,99,Brown University,United States
99,99,Radboud University Nijmegen,Netherlands
100,101,University of Groningen,Netherlands
101,102,University of Adelaide,Australia
102,103,"Rutgers, The State University of New Jersey--New Brunswick",United States
103,103,University of Hong Kong,Hong Kong
104,103,Uppsala University,Sweden
105,106,Aarhus University,Denmark
106,107,Rice University,United States
107,107,University of Florida,United States
108,109,University of Bonn,Germany
109,110,"Queen Mary, University of London",United Kingdom
110,108,University of Bonn,Germany
111,112,University of Bern,Switzerland
112,113,Chinese University Hong Kong,Hong Kong
113,114,Purdue University--West Lafayette,United States
114,114,Stockholm University,Sweden
115,116,University of Bologna,Italy
116,116,University of Padua,Italy
117,118,Université Paris-Sud ,France
118,119,"Queen Mary, University of London",United Kingdom
119,119,Sapienza University of Rome,Italy
120,121,University of Basel,Switzerland
121,122,Technical University of Denmark,Denmark
122,122,University of Bologna,Italy
123,122,University of Padua,Italy
124,125,Communaute Universite Grenoble Alpes,France
125,125,Sapienza University of Rome,Italy
126,125,Texas A&M University--College Station,United States
127,125,University of Texas Southwestern Medical Center--Dallas,United States
128,129,Seoul National University,South Korea
129,130,McMaster University,Canada
130,130,University of Liverpool,United Kingdom
131,132,Baylor College of Medicine,United States
132,132,University of Sheffield,United Kingdom
133,132,University of Utah,United States
134,135,Hong Kong University of Science and Technology,Hong Kong
135,136,University of Montreal,Canada
136,137,University of Alberta,Canada
137,138,Indiana University--Bloomington,United States
138,138,University of Göttingen,Germany
139,138,University of Science and Technology of China,China
140,138,University of Warwick,United Kingdom
141,142,Chinese University Hong Kong,Hong Kong
142,142,University of Auckland,New Zealand
143,144,University Catholique of Louvain,Belgium
144,145,Arizona State University--Tempe,United States
145,145,Shanghai Jiao Tong University,China
146,145,University of Nottingham,United Kingdom
147,148,Universidade de São Paulo,Brazil
148,148,Universite de Lyon (ComUE),France
149,148,University of Hamburg,Germany
150,151,University of Gothenburg,Sweden
151,152,King Abdullah University of Science & Technology,Saudi Arabia
152,152,Oregon Health & Science University,United States
153,152,University of Nottingham,United Kingdom
154,155,Case Western Reserve University,United States
155,155,University of Milan,Italy
156,157,Zhejiang University,China
157,158,University of Freiburg,Germany
158,158,University of Leeds,United Kingdom
159,160,University of Göttingen,Germany
160,159,University of Alabama--Birmingham,United States
161,159,University of Iowa,United States
162,163,Cardiff University,United Kingdom
163,163,University of Freiburg,Germany
164,165,Zhejiang University,China
165,166,Pompeu Fabra University,Spain
166,166,Stony Brook University--SUNY,United States
167,168,Autonomous University of Barcelona,Spain
168,168,King Abdullah University of Science & Technology,Saudi Arabia
169,170,Delft University of Technology,Netherlands
170,171,University of Bergen,Norway
171,172,City University Hong Kong,Hong Kong
172,173,Maastricht University,Netherlands
173,174,National Taiwan University,Taiwan
174,174,Tel Aviv University,Israel
175,174,Universite Federale Toulouse Midi-Pyrenees (ComUE),France
176,174,University of Sussex,United Kingdom
177,178,University of Calgary,Canada
178,179,Nanjing University,China
179,179,RWTH Aachen University,Germany
180,181,Karlsruhe Institute of Technology,Germany
181,182,Technical University of Dresden,Germany
182,183,Autonomous University of Madrid,Spain
183,183,Tel Aviv University,Israel
184,183,University of Lausanne,Switzerland
185,186,Aalto University,Finland
186,186,Boğaziçi University,Turkey
187,186,National Taiwan University,Taiwan
188,186,University of Pisa,Italy
189,190,Curtin University of Technology,Australia
190,190,Florida State University,United States
191,190,Languedoc-Roussillon Universites (ComUE),France
192,190,Tufts University,United States
193,190,Université Libre de Bruxelles,Belgium
194,195,Sungkyunkwan University,South Korea
195,196,Maastricht University,Netherlands
196,196,University of Cincinnati,United States
197,198,University of Ottawa,Canada
198,198,University of Technology Sydney,Australia
199,200,Hong Kong Polytechnic University,Hong Kong
200,200,Northeastern University,United States
201,200,University of Vienna,Austria
202,200,University of Witwatersrand,South Africa
203,204,Scuola Normale Superiore di Pisa,Italy
204,204,University of Naples Federico II,Italy
205,204,University of Würzburg,Germany
206,207,Royal Institute of Technology,Sweden
207,208,Johannes Gutenberg University of Mainz,Germany
208,208,Sun Yat-sen University,China
209,210,Charles University in Prague,Czech Republic
210,210,Durham University,United Kingdom
211,210,Lancaster University,United Kingdom
212,213,Johann Wolfgang Goethe University Frankfurt am Main,Germany
213,214,Dartmouth College,United States
214,214,University of Antwerp,Belgium
215,214,University of Lisbon,Portugal
216,217,University of Illinois--Chicago,United States
217,217,University of Tennessee,United States
218,217,University of Waterloo,Canada
219,220,Iowa State University,United States
220,220,University of Oregon,United States
221,222,Hebrew University of Jerusalem,Israel
222,223,University of Notre Dame,United States
223,224,Queensland University of Technology,Australia
224,224,University of Rome Tor Vergata,Italy
225,226,University of Strasbourg,France
226,227,Macquarie University,Australia
227,227,University College Dublin,Ireland
228,227,University of Aberdeen,United Kingdom
229,227,University of Florence,Italy
230,227,University of Turin,Italy
231,232,Medical University of Vienna,Austria
232,232,North Carolina State University--Raleigh,United States
233,232,University of Malaya,Malaysia
234,235,University of Leicester,United Kingdom
235,235,University of Miami,United States
236,237,University of Otago,New Zealand
237,237,University of Trento,Italy
238,237,University of Valencia,Spain
239,240,Trinity College Dublin,Ireland
240,240,University of Erlangen Nuremberg,Germany
241,242,Griffith University,Australia
242,242,Osaka University,Japan
243,244,Aalborg University,Denmark
244,245,Huazhong University of Science and Technology,China
245,245,University of Cologne,Germany
246,247,Deakin University,Australia
247,247,University of Wollongong,Australia
248,249,Harbin Institute of Technology,China
249,250,Brandeis University,United States
250,251,Brandeis University,United States
251,251,University of New Mexico,United States
252,253,Aalto University,Finland
253,253,University at Buffalo--SUNY,United States
254,253,University of Kiel,Germany
255,253,University of Trieste,Italy
256,257,George Washington University,United States
257,257,Virginia Tech,United States
258,259,Oregon State University,United States
259,260,Aalborg University,Denmark
260,259,University of York,United Kingdom
261,262,National and Kapodistrian University of Athens,Greece
262,262,University of Kiel,Germany
263,262,University of Victoria,Canada
264,262,Yeshiva University,United States
265,266,Colorado State University,United States
266,266,M. V. Lomonosov Moscow State University,Russia
267,266,Oregon State University,United States
268,266,University at Buffalo--SUNY,United States
269,266,University of St. Andrews,United Kingdom
270,270,Norwegian University of Science and Technology,Norway
271,272,Nagoya University,Japan
272,272,University of Victoria,Canada
273,272,University of Wollongong,Australia
274,275,M. V. Lomonosov Moscow State University,Russia
275,276,Korea University,South Korea
276,276,University of Newcastle,Australia
277,276,Western University,Canada
278,279,National and Kapodistrian University of Athens,Greece
279,280,Free University of Brussels,Belgium
280,279,University of Western Sydney,Australia
281,282,University of Trieste,Italy
282,283,Communaute d'Universites et Etablissements d'Aquitaine (ComUE),France
283,283,Norwegian University of Science and Technology,Norway
284,285,Wuhan University,China
285,286,University of Genoa,Italy
286,286,University of Warsaw,Poland
287,288,Universite Lille-Nord-de-France (ComUE),France
288,288,University of Porto,Portugal
289,290,Nagoya University,Japan
290,289,University of Nebraska--Lincoln,United States
291,289,University of Ulm,Germany
292,293,Queen's University Belfast,United Kingdom
293,294,University of Innsbruck,Austria
294,294,University of Southern Denmark,Denmark
295,294,University of Warsaw,Poland
296,297,University of Delaware,United States
297,297,University of Milan - Bicocca,Italy
298,299,Laval University,Canada
299,299,University of Reading,United Kingdom
300,299,Wuhan University,China
301,302,Tongji University,China
302,302,University of Perugia,Italy
303,302,Wayne State University,United States
304,305,Indiana University-Purdue University--Indianapolis,United States
305,305,University of Porto,Portugal
306,307,Dalhousie University,Canada
307,307,Eindhoven University of Technology,Netherlands
308,307,"Royal Holloway, University of London (RHUL)",United Kingdom
309,310,Pontificia University Católica de Chile ,Chile
310,311,Southeast University,China
311,311,University of Delaware,United States
312,311,University of Granada,Spain
313,311,University of Reading,United Kingdom
314,315,Indiana University-Purdue University--Indianapolis,United States
315,315,Laval University,Canada
316,315,RMIT University,Australia
317,318,University of Canterbury,New Zealand
318,319,Temple University,United States
319,319,University of Innsbruck,Austria
320,319,University of Tasmania,Australia
321,322,Dalhousie University,Canada
322,322,Queen's University Belfast,United Kingdom
323,322,University of Tartu,Estonia
324,325,Kyushu University,Japan
325,325,Technical University of Berlin,Germany
326,325,Texas A&M University at Qatar,Qatar
327,325,University of Connecticut,United States
328,329,Stellenbosch University,South Africa
329,329,Yonsei University,South Korea
330,330,Ruhr University Bochum,Germany
331,330,University of Kentucky,United States
332,333,State University of Campinas,Brazil
333,333,University of Canterbury,New Zealand
334,333,University of Colorado--Denver,United States
335,336,University of KwaZulu Natal,South Africa
336,336,University of Twente,Netherlands
337,336,Xiamen University,China
338,339,Heinrich Heine University of Dusseldorf,Germany
339,339,Universite Lille-Nord-de-France (ComUE),France
340,338,University of KwaZulu Natal,South Africa
341,338,University of Savoie,France
342,343,Jagiellonian University,Poland
343,343,University of Turku,Finland
344,343,Xi'an Jiaotong University,China
345,346,Belarusian State University,Belarus
346,346,Federal University of Rio de Janeiro,Brazil
347,346,Syracuse University,United States
348,349,Aristotle University of Thessaloniki,Greece
349,349,Swedish University of Agricultural Sciences,Sweden
350,350,University of Iceland,Iceland
351,350,University of Leipzig,Germany
352,350,University of Missouri,United States
353,354,University of Eastern Finland,Finland
354,354,Wake Forest University,United States
355,356,Friedrich Schiller University of Jena,Germany
356,356,King Saud University,Saudi Arabia
357,356,University of Massachusetts Worcester,United States
358,356,Xi'an Jiaotong University,China
359,360,Nankai University,China
360,361,Chalmers University of Technology,Sweden
361,361,Hannover Medical School,Germany
362,361,South China University of Technology,China
363,361,Syracuse University,United States
364,361,University of Buenos Aires,Argentina
365,361,University of Hawaii--Manoa,United States
366,367,Middle East Technical University,Turkey
367,368,Ulsan National Institute of Science & Technology,South Korea
368,368,University of Auvergne,France
369,368,University of Lorraine,France
370,369,University of Ljubljana,Slovenia
371,369,University of Missouri,United States
372,369,University of Twente,Netherlands
373,374,Nankai University,China
374,374,University of Buenos Aires,Argentina
375,374,University of Eastern Finland,Finland
376,374,University of Massachusetts Worcester,United States
377,378,University of Auvergne,France
378,379,Queen's University,Canada
379,379,Universite de Lorraine,France
380,379,University of Hawaii--Manoa,United States
381,382,National Autonomous University of Mexico,Mexico
382,383,Hannover Medical School,Germany
383,383,Louisiana State University--Baton Rouge,United States
384,385,University of Chile,Chile
385,385,University of Giessen,Germany
386,385,University of Houston,United States
387,388,Central South University,China
388,388,Kansas State University,United States
389,388,Medical University of Innsbruck,Austria
390,388,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia
391,388,Soochow University,China
392,388,University of Manitoba,Canada
393,394,Thomas Jefferson University,United States
394,395,China University of Geosciences,China
395,395,University of South Australia,Australia
396,395,University of Tsukuba,Japan
397,398,Medical University of Graz,Austria
398,398,Middle East Technical University,Turkey
399,398,University of Tampere,Finland
400,401,Wake Forest University,United States
401,402,Moscow Institute of Physics and Technology,Russia
402,402,Tianjin University,China
403,402,Virginia Commonwealth University,United States
404,405,Drexel University,United States
405,405,University of Oklahoma,United States
406,405,University of Tehran,Iran
407,408,La Trobe University,Australia
408,408,Universite Paris-Est (ComUE),France
409,408,University of Bath,United Kingdom
410,409,Soochow University,China
411,409,University of Surrey,United Kingdom
412,413,Beihang University,China
413,414,National Technical University of Athens,Greece
414,414,Rush University,United States
415,414,Université de Rennes 1,France
416,414,Universite Nice Sophia Antipolis,France
417,414,University of Oklahoma,United States
418,419,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia
419,419,University of Regensburg,Germany
420,421,Central South University,China
421,421,University of Texas--San Antonio,United States
422,423,Dortmund University of Technology,Germany
423,423,Swansea University,United Kingdom
424,423,University of Guelph,Canada
425,423,University of Potsdam,Germany
426,427,Czech Technical University in Prague,Czech Republic
427,427,University College Cork,Ireland
428,427,University of Belgrade,Serbia
429,427,University of Nova de Lisboa,Portugal
430,427,University of Pretoria,South Africa
431,427,University of Tromsø,Norway
432,433,Novosibirsk State University,Russia
433,433,University of Jyväskylä,Finland
434,435,Dalian University of Technology,China
435,435,Ivane Javakhishvili Tbilisi State University,Georgia
436,435,Philipps University of Marburg,Germany
437,438,Polytechnic University of Turin,Italy
438,438,University of Alabama,United States
439,438,University of Strathclyde,United Kingdom
440,438,University of Tehran,Iran
441,442,University of Minho,Portugal
442,443,Hanyang University,South Korea
443,443,Tianjin University,China
444,443,University of Vermont,United States
445,446,Brunel University,United Kingdom
446,446,University of Texas--Arlington,United States
447,448,Cairo University,Egypt
448,448,Darmstadt University of Technology,Germany
449,448,Polytechnic University of Catalonia,Spain
450,448,University of Wisconsin--Milwaukee,United States
451,452,Beijing Institute of Technology,China
452,452,University of Crete,Greece
453,454,Georgia State University,United States
454,454,La Trobe University,Australia
455,454,London Business School,United Kingdom
456,457,Hunan University,China
457,457,University of Tampere,Finland
458,459,UNESP - Universidade Estadual Paulista,Brazil
459,460,Federal University of Minas Gerais,Brazil
460,459,Politecnico di Bari,Italy
461,459,UNESP - Universidade Estadual Paulista,Brazil
462,459,University of Regensburg,Germany
463,459,University of Texas--Arlington,United States
464,465,Czech Technical University in Prague,Czech Republic
465,465,Federal University of Minas Gerais,Brazil
466,465,Roma Tre University,Italy
467,468,University of Wuppertal,Germany
468,469,Sichuan University,China
469,469,Tulane University,United States
470,471,Roma Tre University,Italy
471,471,Texas Tech University,United States
472,471,University of Plymouth,United Kingdom
473,471,Victoria University of Wellington,New Zealand
474,475,Colorado School of Mines,United States
475,475,University of Seville,Spain
476,477,Massey University,New Zealand
477,477,University of Salerno,Italy
